2026-01-18 17:22:58,475 | ERROR | HTTP 521 -> 
2026-01-18 17:22:58,989 | ERROR | HTTP 521 -> 
2026-01-18 17:22:59,518 | ERROR | HTTP 521 -> 
2026-01-18 17:22:59,520 | ERROR | BALANCE FETCH FAILED
2026-01-18 17:27:04,267 | ERROR | HTTP 521 -> 
2026-01-18 17:27:04,810 | ERROR | HTTP 521 -> 
2026-01-18 17:27:05,275 | ERROR | HTTP 521 -> 
2026-01-18 17:27:05,277 | ERROR | BALANCE FETCH FAILED
2026-01-18 17:31:45,537 | ERROR | HTTP 521 -> 
2026-01-18 17:31:46,012 | ERROR | HTTP 521 -> 
2026-01-18 17:31:46,530 | ERROR | HTTP 521 -> 
2026-01-18 17:31:46,532 | ERROR | BALANCE FETCH FAILED
2026-01-18 17:53:49,168 | INFO | ----- SIGN DEBUG -----
2026-01-18 17:53:49,169 | INFO | METHOD   : GET
2026-01-18 17:53:49,169 | INFO | PATH     : /capi/v2/account/assets
2026-01-18 17:53:49,169 | INFO | BODY     : 
2026-01-18 17:53:49,169 | INFO | TIMESTAMP: 1768758829168
2026-01-18 17:53:49,169 | INFO | SIGN_STR : 1768758829168GET/capi/v2/account/assets
2026-01-18 17:53:49,169 | INFO | SIGNATURE: 8mMaZcR4TrRSn7dXJxvvyPpkMrOIDawqrSj1xQIIVMU=
2026-01-18 17:53:49,169 | INFO | HEADERS  : {'ACCESS-KEY': 'weex_319aa50a92a640b199f0d3ab5db38f22', 'ACCESS-SIGN': '8mMaZcR4TrRSn7dXJxvvyPpkMrOIDawqrSj1xQIIVMU=', 'ACCESS-PASSPHRASE': 'weex981629186', 'ACCESS-TIMESTAMP': '1768758829168', 'Content-Type': 'application/json', 'Accept': 'application/json', 'locale': 'en-US', 'User-Agent': 'weex-bot/1.0'}
2026-01-18 17:53:49,169 | INFO | ----------------------
2026-01-18 17:53:49,656 | INFO | ----- HTTP DEBUG -----
2026-01-18 17:53:49,656 | INFO | URL    : https://api-contract.weex.com/capi/v2/account/assets
2026-01-18 17:53:49,656 | INFO | STATUS : 521
2026-01-18 17:53:49,656 | INFO | RAW    : 
2026-01-18 17:53:49,656 | INFO | ----------------------
2026-01-18 17:53:51,178 | INFO | ----- HTTP DEBUG -----
2026-01-18 17:53:51,179 | INFO | URL    : https://api-contract.weex.com/capi/v2/account/assets
2026-01-18 17:53:51,179 | INFO | STATUS : 521
2026-01-18 17:53:51,179 | INFO | RAW    : 
2026-01-18 17:53:51,179 | INFO | ----------------------
2026-01-18 17:53:52,661 | INFO | ----- HTTP DEBUG -----
2026-01-18 17:53:52,662 | INFO | URL    : https://api-contract.weex.com/capi/v2/account/assets
2026-01-18 17:53:52,662 | INFO | STATUS : 521
2026-01-18 17:53:52,662 | INFO | RAW    : 
2026-01-18 17:53:52,662 | INFO | ----------------------
2026-01-18 17:53:53,663 | ERROR | BALANCE FETCH FAILED
2026-01-18 18:49:10,664 | INFO | Websocket connected
2026-01-18 18:49:10,665 | INFO | WS CONNECTED
2026-01-18 18:49:10,766 | INFO | SUBSCRIBED -> kline.LAST_PRICE.cmt_adausdt.MINUTE_1
2026-01-18 18:49:11,067 | INFO | SUBSCRIBED -> kline.LAST_PRICE.cmt_adausdt.MINUTE_3
2026-01-18 18:49:11,367 | INFO | SUBSCRIBED -> kline.LAST_PRICE.cmt_adausdt.MINUTE_5
2026-01-18 18:49:11,668 | INFO | SUBSCRIBED -> kline.LAST_PRICE.cmt_adausdt.MINUTE_15
2026-01-18 18:49:11,968 | INFO | SUBSCRIBED -> kline.LAST_PRICE.cmt_solusdt.MINUTE_1
2026-01-18 18:49:12,269 | INFO | SUBSCRIBED -> kline.LAST_PRICE.cmt_solusdt.MINUTE_3
